原相对路径(库根),垃圾件内相对路径,类别,大小
02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/.DS_Store,02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/.DS_Store,DS_Store,12292
02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Pump Gun/.DS_Store,02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Pump Gun/.DS_Store,DS_Store,12292
02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Ripper Fast gun/.DS_Store,02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Ripper Fast gun/.DS_Store,DS_Store,10244
02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Plasma Gun/.DS_Store,02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Plasma Gun/.DS_Store,DS_Store,10244
02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Mines/.DS_Store,02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Mines/.DS_Store,DS_Store,6148
02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Rifle Laser/.DS_Store,02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Rifle Laser/.DS_Store,DS_Store,10244
02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Blaster/.DS_Store,02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Blaster/.DS_Store,DS_Store,18436
02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Explosions/.DS_Store,02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Explosions/.DS_Store,DS_Store,10244
02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Impulse Gun/.DS_Store,02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Impulse Gun/.DS_Store,DS_Store,10244
02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Nine Inch Nail Cannon/.DS_Store,02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Nine Inch Nail Cannon/.DS_Store,DS_Store,8196
02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Machine Gun/.DS_Store,02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Machine Gun/.DS_Store,DS_Store,12292
02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Future Hand Gun/.DS_Store,02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Future Hand Gun/.DS_Store,DS_Store,14340
02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Energy Gun/.DS_Store,02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Energy Gun/.DS_Store,DS_Store,12292
02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Kerosene Gun/.DS_Store,02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Kerosene Gun/.DS_Store,DS_Store,10244
02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Bio Gun/.DS_Store,02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Bio Gun/.DS_Store,DS_Store,14340
02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Gamma Ray/.DS_Store,02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Gamma Ray/.DS_Store,DS_Store,10244
02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Electro Gun/.DS_Store,02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Electro Gun/.DS_Store,DS_Store,10244
02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Bolt Pomp Gun/.DS_Store,02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Bolt Pomp Gun/.DS_Store,DS_Store,14340
02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Electro Rocket/.DS_Store,02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Electro Rocket/.DS_Store,DS_Store,8196
02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Big Friggin Gun/.DS_Store,02_中文音效合集/BD音效库/极品音效库/未来科幻科技感/1/Designed/Big Friggin Gun/.DS_Store,DS_Store,14340
02_中文音效合集/BD音效库/极品音效库/质量一般的音效（备用）/2/.DS_Store,02_中文音效合集/BD音效库/极品音效库/质量一般的音效（备用）/2/.DS_Store,DS_Store,26628
02_中文音效合集/BD音效库/极品音效库/质量一般的音效（备用）/3/.DS_Store,02_中文音效合集/BD音效库/极品音效库/质量一般的音效（备用）/3/.DS_Store,DS_Store,14340
02_中文音效合集/BD音效库/极品音效库/质量一般的音效（备用）/3/音乐-乐器/软音乐/FS_suavity_079.wav,02_中文音效合集/BD音效库/极品音效库/质量一般的音效（备用）/3/音乐-乐器/软音乐/FS_suavity_079.wav,空文件,0
02_中文音效合集/BD音效库/极品音效库/质量一般的音效（备用）/3/音乐-乐器/软音乐/FS_suavity_132.wav,02_中文音效合集/BD音效库/极品音效库/质量一般的音效（备用）/3/音乐-乐器/软音乐/FS_suavity_132.wav,空文件,0
02_中文音效合集/BD音效库/极品音效库/质量一般的音效（备用）/3/软音乐/FS_suavity_079.wav,02_中文音效合集/BD音效库/极品音效库/质量一般的音效（备用）/3/软音乐/FS_suavity_079.wav,空文件,0
02_中文音效合集/BD音效库/极品音效库/质量一般的音效（备用）/3/软音乐/FS_suavity_132.wav,02_中文音效合集/BD音效库/极品音效库/质量一般的音效（备用）/3/软音乐/FS_suavity_132.wav,空文件,0
02_中文音效合集/BD音效库/极品音效库/魔法&科幻/科幻魔法音效/_(WAVs)_Elemental_(Sweetner_Layers)/_(WAVs)_Fire/About/更多优质软件，插件，素材，资源.url,02_中文音效合集/BD音效库/极品音效库/魔法&科幻/科幻魔法音效/_(WAVs)_Elemental_(Sweetner_Layers)/_(WAVs)_Fire/About/更多优质软件，插件，素材，资源.url,广告快捷方式,217
02_中文音效合集/BD音效库/极品音效库/魔法&科幻/蒸汽朋克工业风武器开枪对战音效/_(WAVs)_B_Eva/About.zip,02_中文音效合集/BD音效库/极品音效库/魔法&科幻/蒸汽朋克工业风武器开枪对战音效/_(WAVs)_B_Eva/About.zip,about包,2763
02_中文音效合集/BD音效库/极品音效库/Designer Sound FX/.DS_Store,02_中文音效合集/BD音效库/极品音效库/Designer Sound FX/.DS_Store,DS_Store,18436
02_中文音效合集/BD音效库/极品音效库/Designer Sound FX/鼓点循环/.DS_Store,02_中文音效合集/BD音效库/极品音效库/Designer Sound FX/鼓点循环/.DS_Store,DS_Store,15364
02_中文音效合集/BD音效库/极品音效库/MotionPulse_BlackBox_24-Bit_Wav/.DS_Store,02_中文音效合集/BD音效库/极品音效库/MotionPulse_BlackBox_24-Bit_Wav/.DS_Store,DS_Store,6148
02_中文音效合集/BD音效库/极品音效库/MotionPulse_BlackBox_24-Bit_Wav/ORGANIC/Abstract/ORGANIC.lnk,02_中文音效合集/BD音效库/极品音效库/MotionPulse_BlackBox_24-Bit_Wav/ORGANIC/Abstract/ORGANIC.lnk,广告快捷方式,1213
02_中文音效合集/BD音效库/极品音效库/iPhone音效/.DS_Store,02_中文音效合集/BD音效库/极品音效库/iPhone音效/.DS_Store,DS_Store,6148
02_中文音效合集/音效素材3/特酷音效系列/.DS_Store,02_中文音效合集/音效素材3/特酷音效系列/.DS_Store,DS_Store,6148
02_中文音效合集/音效素材3/特酷音效系列/动物/.DS_Store,02_中文音效合集/音效素材3/特酷音效系列/动物/.DS_Store,DS_Store,6148
02_中文音效合集/音效素材3/汽车防盗声/更多视频素材---99817062.taobao.com    QQ：99817062.lnk,02_中文音效合集/音效素材3/汽车防盗声/更多视频素材---99817062.taobao.com    QQ：99817062.lnk,广告快捷方式,1458
02_中文音效合集/音效素材3/汽车防盗声/更多视频素材--99817062.taobao.com    QQ：99817062.lnk,02_中文音效合集/音效素材3/汽车防盗声/更多视频素材--99817062.taobao.com    QQ：99817062.lnk,广告快捷方式,1298
02_中文音效合集/音效素材3/音乐-乐器/软音乐/FS_suavity_079.wav,02_中文音效合集/音效素材3/音乐-乐器/软音乐/FS_suavity_079.wav,空文件,0
02_中文音效合集/音效素材3/音乐-乐器/软音乐/FS_suavity_132.wav,02_中文音效合集/音效素材3/音乐-乐器/软音乐/FS_suavity_132.wav,空文件,0
02_中文音效合集/音效素材3/软音乐/FS_suavity_079.wav,02_中文音效合集/音效素材3/软音乐/FS_suavity_079.wav,空文件,0
02_中文音效合集/音效素材3/软音乐/FS_suavity_132.wav,02_中文音效合集/音效素材3/软音乐/FS_suavity_132.wav,空文件,0
02_中文音效合集/布斯的音效库/.DS_Store,02_中文音效合集/布斯的音效库/.DS_Store,DS_Store,10244
02_中文音效合集/布斯的音效库/气氛音效/更多免费 FCPX插件‖特效‖AE模板‖脚本‖视频素材‖Mac软件.url,02_中文音效合集/布斯的音效库/气氛音效/更多免费 FCPX插件‖特效‖AE模板‖脚本‖视频素材‖Mac软件.url,广告快捷方式,194
02_中文音效合集/布斯的音效库/气氛音效/百度不限速下载方法.url,02_中文音效合集/布斯的音效库/气氛音效/百度不限速下载方法.url,广告快捷方式,221
02_中文音效合集/环境音/上尚影视.url,02_中文音效合集/环境音/上尚影视.url,广告快捷方式,4523
02_中文音效合集/环境音/其他更多资源.url,02_中文音效合集/环境音/其他更多资源.url,广告快捷方式,4522
02_中文音效合集/环境音/百年资源.url,02_中文音效合集/环境音/百年资源.url,广告快捷方式,4523
99_待整理/临时/大象/.DS_Store,99_待整理/临时/大象/.DS_Store,DS_Store,6148
99_待整理/_命名冲突/03_项目素材/预告/Sound Morph - Sinematic/18. Source Recordings Whoosh/Sinematic - Source Recordings - Whoosh Bys - z Highway Pass_07.wav,99_待整理/_命名冲突/03_项目素材/预告/Sound Morph - Sinematic/18. Source Recordings Whoosh/Sinematic - Source Recordings - Whoosh Bys - z Highway Pass_07.wav,空文件,0
