src	dst	note
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Space/SP 12 Gritty Whoosh.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Space/SP 12 Gritty Whoosh.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Space/SP 19 Light Timelapse.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Space/SP 19 Light Timelapse.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Space/SP 13 Slow Motion.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Space/SP 13 Slow Motion.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Space/SP 15 Elemental.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Space/SP 15 Elemental.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Space/SP 17 Tonal Whoosh.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Space/SP 17 Tonal Whoosh.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Space/SP 01 Pacific A.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Space/SP 01 Pacific A.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Space/SP 24 City Timelapse.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Space/SP 24 City Timelapse.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Space/SP 11 Short Sub.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Space/SP 11 Short Sub.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Space/SP 23 Quick Timelapse.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Space/SP 23 Quick Timelapse.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Space/SP 09 Base Whoosh.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Space/SP 09 Base Whoosh.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Space/SP 03 Pacific C.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Space/SP 03 Pacific C.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Space/SP 18 Page Turner.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Space/SP 18 Page Turner.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Distortion/DS 14 Super Slow.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Distortion/DS 14 Super Slow.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Distortion/DS 06 Bright Fly By.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Distortion/DS 06 Bright Fly By.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Distortion/DS 19 Light Timelapse.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Distortion/DS 19 Light Timelapse.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Distortion/DS 04 Crisp A.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Distortion/DS 04 Crisp A.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Distortion/DS 15 Elemental.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Distortion/DS 15 Elemental.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Distortion/DS 13 Slow Motion.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Distortion/DS 13 Slow Motion.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Distortion/DS 20 Cold Timelapse.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Distortion/DS 20 Cold Timelapse.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Distortion/DS 18 Page Turner.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Distortion/DS 18 Page Turner.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Distortion/DS 16 Sheet Slide.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Distortion/DS 16 Sheet Slide.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Distortion/DS 09 Base Whoosh.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Distortion/DS 09 Base Whoosh.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Distortion/DS 11 Short Sub.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Distortion/DS 11 Short Sub.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Distortion/DS 10 Long Sub.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Distortion/DS 10 Long Sub.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Distortion/DS 24 City Timelapse.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Distortion/DS 24 City Timelapse.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Distortion/DS 05 Crisp B.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Distortion/DS 05 Crisp B.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Distortion/DS 01 Pacific A.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Distortion/DS 01 Pacific A.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Distortion/DS 08 Wind Whoosh.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Distortion/DS 08 Wind Whoosh.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Distortion/DS 02 Pacific B.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Distortion/DS 02 Pacific B.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Distortion/DS 22 Basic Timelapse.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Distortion/DS 22 Basic Timelapse.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Distortion/DS 21 Sub Timelapse.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Distortion/DS 21 Sub Timelapse.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Distortion/DS 12 Gritty Whoosh.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Distortion/DS 12 Gritty Whoosh.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Distortion/DS 03 Pacific C.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Distortion/DS 03 Pacific C.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Distortion/DS 23 Quick Timelapse.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Distortion/DS 23 Quick Timelapse.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Distortion/DS 17 Tonal Whoosh.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Distortion/DS 17 Tonal Whoosh.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/03 - Whooshes/Whooshes - Distortion/DS 07 Jetset.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/03 - Whooshes/Whooshes - Distortion/DS 07 Jetset.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Space/SP 03 Feelings.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Space/SP 03 Feelings.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Space/SP 08 Intense.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Space/SP 08 Intense.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Space/SP 06 Grand.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Space/SP 06 Grand.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Space/SP 05 Morning.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Space/SP 05 Morning.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Space/SP 12 Stadium Pressure.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Space/SP 12 Stadium Pressure.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Space/SP 01 Daybreak.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Space/SP 01 Daybreak.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Space/SP 07 Ascend.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Space/SP 07 Ascend.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Space/SP 04 The Approach.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Space/SP 04 The Approach.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Space/SP 02 Meaning.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Space/SP 02 Meaning.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Space/SP 10 Super Bright.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Space/SP 10 Super Bright.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Space/SP 09 The Day Of.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Space/SP 09 The Day Of.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Space/SP 11 The Big Game.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Space/SP 11 The Big Game.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Distortion/DS 04 The Approach.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Distortion/DS 04 The Approach.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Distortion/DS 06 Grand.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Distortion/DS 06 Grand.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Distortion/DS 03 Feelings.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Distortion/DS 03 Feelings.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Distortion/DS 11 The Big Game.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Distortion/DS 11 The Big Game.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Distortion/DS 08 Intense.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Distortion/DS 08 Intense.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Distortion/DS 07 Ascend.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Distortion/DS 07 Ascend.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Distortion/DS 09 The Day Of.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Distortion/DS 09 The Day Of.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Distortion/DS 05 Morning.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Distortion/DS 05 Morning.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Distortion/DS 12 Stadium Pressure.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Distortion/DS 12 Stadium Pressure.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Distortion/DS 10 Super Bright.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Distortion/DS 10 Super Bright.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Distortion/DS 01 Daybreak.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Distortion/DS 01 Daybreak.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers/08 Intense.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers/08 Intense.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers/11 The Big Game.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers/11 The Big Game.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers/02 Meaning.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers/02 Meaning.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers/07 Ascend.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers/07 Ascend.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers/12 Stadium Pressure.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers/12 Stadium Pressure.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers/01 Daybreak.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers/01 Daybreak.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers/09 The Day Of.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers/09 The Day Of.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers/05 Morning.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers/05 Morning.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers/04 The Approach.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers/04 The Approach.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers/10 Super Bright.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers/10 Super Bright.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers/06 Grand.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers/06 Grand.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers/03 Feelings.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers/03 Feelings.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Tube/TB 08 Intense.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Tube/TB 08 Intense.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Tube/TB 03 Feelings.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Tube/TB 03 Feelings.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Tube/TB 09 The Day Of.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Tube/TB 09 The Day Of.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Tube/TB 05 Morning.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Tube/TB 05 Morning.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Tube/TB 11 The Big Game.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Tube/TB 11 The Big Game.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Tube/TB 06 Grand.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Tube/TB 06 Grand.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Tube/TB 04 The Approach.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Tube/TB 04 The Approach.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Tube/TB 01 Daybreak.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Tube/TB 01 Daybreak.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Tube/TB 12 Stadium Pressure.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Tube/TB 12 Stadium Pressure.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Tube/TB 10 Super Bright.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Tube/TB 10 Super Bright.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Tube/TB 07 Ascend.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Tube/TB 07 Ascend.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/01 - Risers/Risers - Tube/TB 02 Meaning.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/01 - Risers/Risers - Tube/TB 02 Meaning.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/02 - Hits/Hits/04 Edge of Time.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/02 - Hits/Hits/04 Edge of Time.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/02 - Hits/Hits/02 Event Horizon.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/02 - Hits/Hits/02 Event Horizon.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/02 - Hits/Hits/05 Spirit.wav 96000.pek	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/02 - Hits/Hits/05 Spirit.wav 96000.pek	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/02 - Hits/Hits/04 Edge of Time.wav 96000.pek	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/02 - Hits/Hits/04 Edge of Time.wav 96000.pek	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/02 - Hits/Hits/15 Basic Hit.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/02 - Hits/Hits/15 Basic Hit.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/02 - Hits/Hits/01 Big Moment.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/02 - Hits/Hits/01 Big Moment.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/02 - Hits/Hits/07 Bold Promise.wav 96000.pek	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/02 - Hits/Hits/07 Bold Promise.wav 96000.pek	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/02 - Hits/Hits/19 Mellow Swell.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/02 - Hits/Hits/19 Mellow Swell.wav	
